course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,A,Spring2020
CSE173,Discrete Mathematics,3,A-,Spring2020
MAT116,Precalculus,3,B+,Spring2020
ENG102,Composition I,3,B,Summer2020
CSE215,Programming Language II,3,A,Summer2020
MAT120,Calculus I,3,A,Fall2020
CSE225,Data Structures,3,B,Fall2020
CSE231,Digital Logic Design,3,B+,Spring2021
PHY107,Physics I,4,A,Spring2021
CSE311,Database Systems,3,A-,Summer2021
CSE373,Design and Analysis of Algorithms,3,B,Fall2021
CSE325,Operating Systems,3,A,Spring2022
CSE425,Concepts of Programming Languages,3,B+,Summer2022
CSE499A,Senior Design Project I,3,A,Fall2023
CSE499B,Senior Design Project II,3,A,Spring2024
