course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ECO101,Intro to Microeconomics,3,C,Summer2020
ACT201,Intro to Financial Accounting,3,W,Summer2020
MKT202,Introduction to Marketing,3,B,Summer2020
ACT201,Intro to Financial Accounting,3,D,Fall2020
MGT212,Principles of Management,3,W,Fall2020
MIS107,Introduction to Computers,3,B,Fall2020
ENG103,Intermediate Composition,3,B-,Fall2020
MGT212,Principles of Management,3,B,Spring2021
BUS251,Business Communication,3,A-,Spring2021
LAW200,Legal Environment of Business,3,C,Spring2021
