course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ENG103,Intermediate Composition,3,B+,Spring2021
MKT202,Introduction to Marketing,3,B,Spring2021
ECO101,Intro to Microeconomics,3,C,Spring2021
ACT201,Intro to Financial Accounting,3,A-,Spring2021
MGT212,Principles of Management,3,C+,Summer2021
BUS251,Business Communication,3,C,Summer2021
MIS107,Introduction to Computers,3,B+,Summer2021
ECO104,Intro to Macroeconomics,3,B+,Summer2021
INB372,International Business,3,B-,Summer2021
MGT314,Production Management,3,D,Fall2021
MGT368,Entrepreneurship,3,F,Fall2021
ACT202,Intro to Managerial Accounting,3,B+,Fall2021
MGT351,Human Resource Management,3,C-,Fall2021
ENG105,Advanced Composition,3,C+,Fall2021
BEN205,Bengali Literature,3,A,Spring2022
LAW200,Legal Environment of Business,3,C,Spring2022
PHI401,Ethics / Philosophy,3,B,Spring2022
MGT368,Entrepreneurship,3,C-,Summer2022
SOC101,Intro to Sociology,3,C,Summer2022
POL101,Intro to Political Science,3,B,Summer2022
MIS207,Management Information Systems,3,B,Summer2022
ENV107,Environmental Science,3,A-,Fall2022
BIO103,Biology I,3,W,Fall2022
PHY107L,Physics I Lab,1,B,Fall2022
PBH101,Public Health,3,A,Fall2022
PHY107,Physics I,3,A-,Fall2022
ENV107L,Environmental Science Lab,1,B-,Fall2022
HIS101,Bangladesh History,3,B+,Spring2023
ECO348,Mathematical Economics,3,C-,Spring2023
ECO201,Intermediate Microeconomics,3,C,Spring2023
HIS102,World Civilization,3,A,Spring2023
ECO204,Intermediate Macroeconomics,3,D+,Spring2023
ECO301,Monetary Economics,3,A-,Summer2023
ECO328,Econometrics,3,C+,Summer2023
ECO244,Economic Development,3,B-,Summer2023
ECO354,Advanced Microeconomics,3,C+,Fall2023
ECO410,Development Economics,3,A-,Fall2023
ECO317,Public Economics,3,A,Fall2023
BUS498,Internship,4,W,Fall2023
