course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
MGT212,Principles of Management,3,B+,Summer2020
MIS107,Introduction to Computers,3,W,Summer2020
ECO101,Intro to Microeconomics,3,A-,Summer2020
ACT201,Intro to Financial Accounting,3,B-,Summer2020
BUS135,Business Mathematics,3,W,Fall2020
BUS251,Business Communication,3,C,Fall2020
MIS107,Introduction to Computers,3,C+,Fall2020
MKT202,Introduction to Marketing,3,B+,Spring2021
BUS135,Business Mathematics,3,C,Spring2021
INB372,International Business,3,B,Spring2021
ECO104,Intro to Macroeconomics,3,B-,Spring2021
