course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,C,Summer2019
BUS251,Business Communication,3,B+,Summer2019
MGT212,Principles of Management,3,W,Summer2019
ACT201,Intro to Financial Accounting,3,W,Summer2019
INB372,International Business,3,W,Fall2019
ECO101,Intro to Microeconomics,3,A,Fall2019
MKT202,Introduction to Marketing,3,B,Fall2019
MIS207,Management Information Systems,3,C+,Fall2019
ACT201,Intro to Financial Accounting,3,B,Fall2019
PHI401,Ethics / Philosophy,3,W,Spring2020
MGT212,Principles of Management,3,A,Spring2020
INB372,International Business,3,C+,Spring2020
ECO104,Intro to Macroeconomics,3,C+,Spring2020
ACT202,Intro to Managerial Accounting,3,W,Spring2020
ACT202,Intro to Managerial Accounting,3,C+,Summer2020
MGT368,Entrepreneurship,3,W,Summer2020
MGT351,Human Resource Management,3,W,Summer2020
ENG115,English Literature,3,W,Fall2020
MGT368,Entrepreneurship,3,B+,Fall2020
MGT351,Human Resource Management,3,W,Fall2020
BEN205,Bengali Literature,3,C,Fall2020
MGT314,Production Management,3,A,Fall2020
POL101,Intro to Political Science,3,W,Spring2021
PHI401,Ethics / Philosophy,3,C+,Spring2021
LAW200,Legal Environment of Business,3,W,Spring2021
LAW200,Legal Environment of Business,3,W,Summer2021
PAD201,Public Administration,3,W,Summer2021
POL104,Political Science,3,C,Summer2021
SOC101,Intro to Sociology,3,F,Fall2021
BIO103L,Biology I Lab,1,W,Fall2021
MGT351,Human Resource Management,3,W,Fall2021
BIO103,Biology I,3,D,Fall2021
ANT101,Anthropology,3,B,Fall2021
HIS101,Bangladesh History,3,B,Spring2022
LAW200,Legal Environment of Business,3,W,Spring2022
FIN433,Financial Markets and Institutions,3,C,Spring2022
HIS205,Modern History,3,W,Spring2022
MGT351,Human Resource Management,3,B,Spring2022
