course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,B+,Summer2022
MIS107,Introduction to Computers,3,B,Summer2022
MGT212,Principles of Management,3,C,Summer2022
MKT202,Introduction to Marketing,3,F,Summer2022
ECO101,Intro to Microeconomics,3,A-,Fall2022
MKT202,Introduction to Marketing,3,F,Fall2022
BUS135,Business Mathematics,3,B+,Spring2023
ECO104,Intro to Macroeconomics,3,C+,Spring2023
MKT202,Introduction to Marketing,3,F,Spring2023
LAW200,Legal Environment of Business,3,D,Spring2023
BUS251,Business Communication,3,C,Summer2023
ACT202,Intro to Managerial Accounting,3,D,Summer2023
BUS172,Introduction to Statistics,3,C,Summer2023
MKT202,Introduction to Marketing,3,C+,Fall2023
INB372,International Business,3,C+,Fall2023
MIS207,Management Information Systems,3,B+,Fall2023
BUS173,Applied Statistics,3,A-,Spring2024
MGT314,Production Management,3,D+,Spring2024
MGT351,Human Resource Management,3,D+,Spring2024
