course_code,course_name,credits,grade,semester
CHE101L,Chemistry I Lab,1,B+,Spring2021
HIS101,Bangladesh History,3,A-,Spring2021
PHI104,Introduction to Ethics,3,B-,Spring2021
HIS102,World Civilization,3,C+,Summer2021
MAT116,Pre-Calculus,3,B+,Summer2021
BIO103L,Biology I Lab,1,B,Summer2021
ENG111,Public Speaking,3,A-,Summer2021
PHY108,Physics II,3,B,Fall2021
MAT125,Linear Algebra,3,B,Fall2021
PHY108L,Physics II Lab,1,B-,Fall2021
EEE111,Analog Electronics I,3,B+,Fall2021
CSE215L,Programming Language II Lab,1,C+,Fall2021
EEE111L,Analog Electronics I Lab,1,B,Fall2021
INB372,International Business,3,C+,Spring2022
MIS410,Systems Design,3,B+,Spring2022
MGT212,Principles of Management,3,C+,Spring2022
MIS499,Special Topics in MIS,3,C,Summer2022
MIS330,Database Systems,3,B-,Summer2022
MIS310,Systems Analysis,3,B,Summer2022
ECO101,Intro to Microeconomics,3,B+,Fall2022
BUS251,Business Communication,3,C,Fall2022
MGT351,Human Resource Management,3,C,Fall2022
PHI401,Ethics / Philosophy,3,B-,Fall2022
MIS470,IT Project Management,3,D,Spring2023
MIS450,IS Security,3,C,Spring2023
MGT490,Project Management,3,C+,Spring2023
LAW200,Legal Environment of Business,3,C,Summer2023
MIS207,Management Information Systems,3,F,Summer2023
MGT314,Production Management,3,D+,Summer2023
ACT201,Intro to Financial Accounting,3,B-,Fall2023
MIS210,Computer Programming,3,D+,Fall2023
MIS320,IT for Managers,3,A,Fall2023
MIS107,Introduction to Computers,3,F,Fall2023
MIS107,Introduction to Computers,3,A,Spring2024
MKT202,Introduction to Marketing,3,A,Spring2024
MIS207,Management Information Systems,3,F,Spring2024
MIS207,Management Information Systems,3,A,Summer2024
MGT368,Entrepreneurship,3,A-,Summer2024
ECO104,Intro to Macroeconomics,3,C-,Summer2024
ACT202,Intro to Managerial Accounting,3,D,Summer2024
