course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,C-,Spring2020
MIS107,Introduction to Computers,3,D+,Spring2020
MGT212,Principles of Management,3,B-,Spring2020
ECO101,Intro to Microeconomics,3,B-,Summer2020
ACT202,Intro to Managerial Accounting,3,B-,Summer2020
BUS251,Business Communication,3,C,Summer2020
ECO104,Intro to Macroeconomics,3,B,Fall2020
INB372,International Business,3,C-,Fall2020
MKT202,Introduction to Marketing,3,C,Spring2021
MGT368,Entrepreneurship,3,D,Spring2021
LAW200,Legal Environment of Business,3,C-,Spring2021
MGT314,Production Management,3,C,Spring2021
MGT351,Human Resource Management,3,C+,Summer2021
BEN205,Bengali Literature,3,D,Summer2021
MIS207,Management Information Systems,3,C+,Fall2021
POL101,Intro to Political Science,3,C,Fall2021
PAD201,Public Administration,3,C-,Fall2021
GEO205,Geography,3,D+,Spring2022
ANT101,Anthropology,3,D+,Spring2022
PBH101,Public Health,3,C-,Summer2022
PHI401,Ethics / Philosophy,3,B-,Summer2022
HIS101,Bangladesh History,3,B,Fall2022
HIS103,History of South Asia,3,D+,Fall2022
