course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
BUS135,Business Mathematics,3,C,Fall2019
MKT202,Introduction to Marketing,3,B,Fall2019
ECO101,Intro to Microeconomics,3,D+,Fall2019
MGT212,Principles of Management,3,D+,Spring2020
ACT201,Intro to Financial Accounting,3,C,Spring2020
ECO104,Intro to Macroeconomics,3,I,Summer2020
MIS107,Introduction to Computers,3,C-,Fall2020
BUS172,Introduction to Statistics,3,F,Spring2021
ACT202,Intro to Managerial Accounting,3,D,Spring2021
LAW200,Legal Environment of Business,3,B-,Summer2021
BUS172,Introduction to Statistics,3,B-,Summer2021
BUS251,Business Communication,3,F,Fall2021
FIN254,Intro to Financial Management,3,D+,Fall2021
BUS173,Applied Statistics,3,F,Spring2022
INB372,International Business,3,D+,Spring2022
BUS251,Business Communication,3,F,Spring2022
ECO104,Intro to Macroeconomics,3,B,Summer2022
MIS207,Management Information Systems,3,D,Summer2022
MGT351,Human Resource Management,3,C-,Summer2022
PHI401,Ethics / Philosophy,3,F,Fall2022
BUS251,Business Communication,3,D,Fall2022
MGT368,Entrepreneurship,3,D,Fall2022
