course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,A-,Summer2020
ACT201,Intro to Financial Accounting,3,C+,Summer2020
MIS107,Introduction to Computers,3,C+,Summer2020
MKT202,Introduction to Marketing,3,B+,Fall2020
ECO104,Intro to Macroeconomics,3,C+,Fall2020
MGT212,Principles of Management,3,C,Fall2020
LAW200,Legal Environment of Business,3,A,Spring2021
INB372,International Business,3,C+,Spring2021
ACT202,Intro to Managerial Accounting,3,B-,Summer2021
BUS251,Business Communication,3,C,Summer2021
MGT351,Human Resource Management,3,W,Summer2021
