course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,W,Summer2020
MGT212,Principles of Management,3,A,Summer2020
MKT202,Introduction to Marketing,3,W,Fall2020
ACT201,Intro to Financial Accounting,3,A,Fall2020
ENG103,Intermediate Composition,3,W,Fall2020
BUS251,Business Communication,3,W,Fall2020
ENG103,Intermediate Composition,3,B,Spring2021
MIS107,Introduction to Computers,3,F,Spring2021
BUS251,Business Communication,3,C+,Summer2021
MIS107,Introduction to Computers,3,C+,Summer2021
MKT202,Introduction to Marketing,3,W,Summer2021
ECO101,Intro to Microeconomics,3,A,Fall2021
LAW200,Legal Environment of Business,3,B,Fall2021
MKT202,Introduction to Marketing,3,B,Spring2022
ECO104,Intro to Macroeconomics,3,W,Spring2022
MGT314,Production Management,3,B,Summer2022
ECO104,Intro to Macroeconomics,3,W,Summer2022
MIS207,Management Information Systems,3,B+,Summer2022
INB372,International Business,3,W,Summer2022
MGT351,Human Resource Management,3,W,Fall2022
ECO104,Intro to Macroeconomics,3,C+,Fall2022
MGT351,Human Resource Management,3,B,Spring2023
PHI401,Ethics / Philosophy,3,C,Spring2023
INB372,International Business,3,W,Spring2023
MGT368,Entrepreneurship,3,W,Spring2023
ENG105,Advanced Composition,3,W,Summer2023
ACT202,Intro to Managerial Accounting,3,W,Summer2023
INB372,International Business,3,W,Fall2023
MGT368,Entrepreneurship,3,W,Fall2023
ENG105,Advanced Composition,3,W,Fall2023
ENG115,English Literature,3,C+,Fall2023
