course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MGT212,Principles of Management,3,B,Summer2021
ECO101,Intro to Microeconomics,3,T,Fall2021
ACT201,Intro to Financial Accounting,3,B+,Fall2021
MIS107,Introduction to Computers,3,T,Spring2022
ECO104,Intro to Macroeconomics,3,T,Spring2022
ENG103,Intermediate Composition,3,C,Summer2022
MKT202,Introduction to Marketing,3,T,Summer2022
BUS251,Business Communication,3,A,Fall2022
INB372,International Business,3,B,Spring2023
ACT202,Intro to Managerial Accounting,3,A,Summer2023
LAW200,Legal Environment of Business,3,A,Summer2023
