course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,B-,Spring2020
ACT201,Intro to Financial Accounting,3,B-,Spring2020
MKT202,Introduction to Marketing,3,B+,Spring2020
BUS251,Business Communication,3,C+,Spring2020
MIS207,Management Information Systems,3,A,Summer2020
INB372,International Business,3,C,Summer2020
ACT202,Intro to Managerial Accounting,3,B+,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
BEN205,Bengali Literature,3,B,Fall2020
MGT368,Entrepreneurship,3,B+,Fall2020
PHI401,Ethics / Philosophy,3,B,Fall2020
MGT351,Human Resource Management,3,A-,Fall2020
ECO101,Intro to Microeconomics,3,B-,Fall2020
MGT314,Production Management,3,B+,Fall2020
GEO205,Geography,3,B+,Spring2021
POL101,Intro to Political Science,3,C+,Spring2021
SOC101,Intro to Sociology,3,B-,Spring2021
LAW200,Legal Environment of Business,3,A-,Spring2021
ANT101,Anthropology,3,C,Spring2021
PAD201,Public Administration,3,C,Spring2021
BIO103,Biology I,3,B,Summer2021
PBH101,Public Health,3,B-,Summer2021
CHE101L,Chemistry I Lab,1,A,Summer2021
ECO104,Intro to Macroeconomics,3,A,Summer2021
BIO103L,Biology I Lab,1,C+,Summer2021
PHY107L,Physics I Lab,1,C,Summer2021
CHE101,Chemistry I,3,B,Summer2021
PHY107,Physics I,3,A-,Summer2021
HIS205,Modern History,3,C+,Fall2021
HIS101,Bangladesh History,3,A-,Fall2021
HIS103,History of South Asia,3,B,Fall2021
HIS102,World Civilization,3,C-,Fall2021
ACT320,Intermediate Accounting II,3,A-,Spring2022
ACT310,Intermediate Accounting I,3,C-,Spring2022
ACT430,Accounting Information Systems,3,C,Spring2022
ACT410,Financial Statement Analysis,3,C-,Spring2022
ACT370,Taxation,3,A,Spring2022
ACT380,Audit and Assurance,3,C+,Spring2022
ACT360,Advanced Managerial Accounting,3,C-,Summer2022
ACT460,Advanced Financial Accounting,3,C-,Summer2022
BUS498,Internship,4,D+,Fall2024
