course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,0,T,Spring2019
MAT112,College Algebra,0,T,Spring2019
CSE115,Programming Language I,3,C,Spring2020
MAT120,Calculus I,3,D,Spring2020
CSE173,Discrete Mathematics,3,B,Summer2020
CSE115L,Programming Language I Lab,1,C+,Summer2020
MAT130,Calculus II,3,B-,Summer2020
CSE215,Programming Language II,3,C+,Fall2020
MAT250,Calculus III,3,C-,Fall2020
SOC101,Intro to Sociology,3,F,Fall2020
MAT130,Calculus II,3,C+,Fall2020
CSE215L,Programming Language II Lab,1,B-,Fall2020
ECO101,Intro to Microeconomics,3,C-,Spring2021
PHI104,Introduction to Ethics,3,D,Spring2021
CSE225,Data Structures & Algorithms,3,C+,Spring2021
CSE225L,Data Structures & Algorithms Lab,1,D+,Spring2021
CSE231,Digital Logic Design,3,C-,Summer2021
EEE111L,Analog Electronics I Lab,1,C+,Summer2021
CSE231L,Digital Logic Design Lab,1,C-,Summer2021
BIO103L,Biology I Lab,1,C,Summer2021
BIO103,Biology I,3,D,Summer2021
EEE111,Analog Electronics I,3,C-,Summer2021
