course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,F,Spring2019
MIS107,Introduction to Computers,3,C,Spring2019
ACT201,Intro to Financial Accounting,3,C,Spring2019
BUS251,Business Communication,3,F,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,I,Spring2019
BUS135,Business Mathematics,3,F,Summer2019
MKT202,Introduction to Marketing,3,C,Summer2019
BUS251,Business Communication,3,I,Summer2019
ACT202,Intro to Managerial Accounting,3,D,Summer2019
MGT212,Principles of Management,3,C-,Summer2019
BUS135,Business Mathematics,3,C,Fall2019
INB372,International Business,3,C+,Fall2019
ECO101,Intro to Microeconomics,3,D+,Fall2019
LAW200,Legal Environment of Business,3,C,Spring2020
ECO104,Intro to Macroeconomics,3,B-,Spring2020
MIS207,Management Information Systems,3,C+,Spring2020
MGT368,Entrepreneurship,3,D,Summer2020
MGT314,Production Management,3,D+,Summer2020
BUS251,Business Communication,3,F,Summer2020
BEN205,Bengali Literature,3,C+,Fall2020
ENG115,English Literature,3,C+,Fall2020
PHI401,Ethics / Philosophy,3,D,Fall2020
BUS172,Introduction to Statistics,3,F,Fall2020
CHN101,Chinese Language,3,C-,Fall2020
POL104,Political Science,3,B-,Spring2021
BUS251,Business Communication,3,C+,Spring2021
BUS172,Introduction to Statistics,3,D+,Spring2021
MGT351,Human Resource Management,3,F,Spring2021
