course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,C+,Spring2020
ECO101,Intro to Microeconomics,3,C,Summer2020
BUS135,Business Mathematics,3,A,Fall2020
MKT202,Introduction to Marketing,3,W,Fall2020
MGT212,Principles of Management,3,A,Fall2020
BUS172,Introduction to Statistics,3,B+,Spring2021
ENG103,Intermediate Composition,3,W,Spring2021
ECO104,Intro to Macroeconomics,3,C,Spring2021
MKT202,Introduction to Marketing,3,C+,Summer2021
MIS107,Introduction to Computers,3,W,Summer2021
FIN254,Intro to Financial Management,3,W,Fall2021
ENG103,Intermediate Composition,3,W,Fall2021
BUS173,Applied Statistics,3,C+,Spring2022
BUS251,Business Communication,3,W,Spring2022
FIN254,Intro to Financial Management,3,W,Spring2022
ENG103,Intermediate Composition,3,B,Summer2022
BUS251,Business Communication,3,W,Fall2022
MIS107,Introduction to Computers,3,A,Spring2023
BUS251,Business Communication,3,B,Summer2023
FIN254,Intro to Financial Management,3,D,Fall2023
LAW200,Legal Environment of Business,3,B,Fall2023
MIS207,Management Information Systems,3,B,Spring2024
ACT202,Intro to Managerial Accounting,3,B,Spring2024
INB372,International Business,3,W,Spring2024
MGT314,Production Management,3,A,Summer2024
MGT351,Human Resource Management,3,C,Fall2024
