course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MAT112,College Algebra,0,T,Spring2019
MAT116,Pre-Calculus,0,T,Spring2019
MAT120,Calculus I,3,C,Summer2022
CSE115,Programming Language I,3,C+,Summer2022
ECO104,Intro to Macroeconomics,3,C+,Summer2022
CSE115L,Programming Language I Lab,1,B,Summer2022
CSE173,Discrete Mathematics,3,T,Fall2022
PHY108,Physics II,3,T,Fall2022
PHY108L,Physics II Lab,1,B+,Fall2022
CSE145,Introduction to Artificial Intelligence,3,A,Fall2022
MAT130,Calculus II,3,C+,Fall2022
CSE215,Programming Language II,3,C,Spring2023
MAT250,Calculus III,3,C+,Spring2023
HIS102,World Civilization,3,T,Spring2023
CSE225,Data Structures & Algorithms,3,C,Summer2023
CSE311L,Database Management Systems Lab,1,B+,Summer2023
CSE225L,Data Structures & Algorithms Lab,1,C,Summer2023
CSE215L,Programming Language II Lab,1,B+,Summer2023
