course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
MKT202,Introduction to Marketing,3,B-,Summer2020
ECO101,Intro to Microeconomics,3,A,Summer2020
BUS251,Business Communication,3,B-,Summer2020
ENG103,Intermediate Composition,3,B,Summer2020
MGT212,Principles of Management,3,A-,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
ECO104,Intro to Macroeconomics,3,A-,Fall2020
LAW200,Legal Environment of Business,3,A-,Fall2020
MIS207,Management Information Systems,3,A,Fall2020
INB372,International Business,3,B,Fall2020
MGT368,Entrepreneurship,3,A-,Spring2021
ACT201,Intro to Financial Accounting,3,A-,Spring2021
MGT351,Human Resource Management,3,A,Spring2021
BUS135,Business Mathematics,3,A,Spring2021
ENG105,Advanced Composition,3,B,Spring2021
BEN205,Bengali Literature,3,B-,Summer2021
BUS172,Introduction to Statistics,3,B+,Summer2021
CHN101,Chinese Language,3,B,Summer2021
POL101,Intro to Political Science,3,C+,Summer2021
ENG115,English Literature,3,B+,Summer2021
PHI401,Ethics / Philosophy,3,B+,Summer2021
MGT314,Production Management,3,B,Fall2021
SOC101,Intro to Sociology,3,C-,Fall2021
GEO205,Geography,3,B+,Fall2021
BUS173,Applied Statistics,3,B+,Fall2021
ACT202,Intro to Managerial Accounting,3,C+,Fall2021
BIO103,Biology I,3,B-,Spring2022
BIO103L,Biology I Lab,1,B-,Spring2022
ENV107,Environmental Science,3,C-,Spring2022
PSY101,Intro to Psychology,3,C+,Spring2022
PHY107L,Physics I Lab,1,C+,Spring2022
PSY101L,Psychology Lab,1,C-,Spring2022
PHY107,Physics I,3,C-,Spring2022
SCM310,Supply Chain Management,3,D+,Summer2022
HIS101,Bangladesh History,3,D+,Summer2022
HIS205,Modern History,3,C+,Summer2022
HIS103,History of South Asia,3,C-,Summer2022
MGT470,Quality Management,3,D,Fall2022
SCM320,Procurement and Inventory,3,D,Fall2022
FIN254,Intro to Financial Management,3,D,Fall2022
MGT390,Warehouse Management,3,D+,Fall2022
MGT360,Global Supply Chain,3,D+,Fall2022
BUS498,Internship,4,D,Fall2022
SCM450,Supply Chain Analytics,3,D+,Fall2022
