course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,T,Spring2020
MGT212,Principles of Management,3,A,Summer2020
MIS107,Introduction to Computers,3,T,Summer2020
ACT202,Intro to Managerial Accounting,3,C+,Fall2020
MKT202,Introduction to Marketing,3,C,Fall2020
ECO101,Intro to Microeconomics,3,C,Spring2021
INB372,International Business,3,A-,Summer2021
ECO104,Intro to Macroeconomics,3,B,Summer2021
MIS207,Management Information Systems,3,C,Fall2021
MGT351,Human Resource Management,3,A-,Fall2021
