course_code,course_name,credits,grade,semester
MAT112,College Algebra,0,T,Spring2019
CSE115,Programming Language I,3,A-,Summer2019
MAT116,Pre-Calculus,3,B,Summer2019
EEE452,Engineering Economics,3,B,Summer2019
ANT101,Anthropology,3,B,Fall2019
PHI104,Introduction to Ethics,3,A-,Fall2019
EEE141,Electrical Circuits I,3,F,Fall2019
MAT120,Calculus I,3,C-,Fall2019
CSE173,Discrete Mathematics,3,C-,Fall2019
MAT361,Discrete Mathematics II,3,D,Spring2020
MAT130,Calculus II,3,C+,Spring2020
CSE215,Programming Language II,3,A,Spring2020
CSE215L,Programming Language II Lab,1,F,Spring2020
PHY108,Physics II,3,B,Summer2020
CSE225L,Data Structures & Algorithms Lab,1,B+,Summer2020
CSE225,Data Structures & Algorithms,3,B-,Summer2020
MAT250,Calculus III,3,D+,Summer2020
CSE231L,Digital Logic Design Lab,1,B,Fall2020
CSE215L,Programming Language II Lab,1,C+,Fall2020
MAT125,Linear Algebra,3,D,Fall2020
CSE231,Digital Logic Design,3,A,Fall2020
CSE299,Junior Design Project,1,C-,Fall2020
CSE226,Fundamentals of Vibe Coding,3,C+,Spring2021
CSE332,Computer Organization & Architecture,3,A,Spring2021
CSE311,Database Management Systems,3,A-,Spring2021
