course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,C,Summer2019
MKT202,Introduction to Marketing,3,C,Summer2019
MGT212,Principles of Management,3,B+,Summer2019
BUS251,Business Communication,3,A-,Fall2019
MIS107,Introduction to Computers,3,C,Fall2019
ECO104,Intro to Macroeconomics,3,D+,Fall2019
ACT201,Intro to Financial Accounting,3,B+,Fall2019
ENG103,Intermediate Composition,3,D+,Spring2020
BUS135,Business Mathematics,3,C+,Spring2020
LAW200,Legal Environment of Business,3,C,Spring2020
ACT202,Intro to Managerial Accounting,3,B,Spring2020
MGT314,Production Management,3,D+,Summer2020
MIS207,Management Information Systems,3,D+,Summer2020
MGT351,Human Resource Management,3,A-,Summer2020
INB372,International Business,3,B,Fall2020
BEN205,Bengali Literature,3,F,Fall2020
PHI401,Ethics / Philosophy,3,C+,Fall2020
MGT368,Entrepreneurship,3,A-,Fall2020
BUS172,Introduction to Statistics,3,C+,Fall2020
ENG105,Advanced Composition,3,C,Spring2021
FIN254,Intro to Financial Management,3,A-,Spring2021
CHN101,Chinese Language,3,B,Spring2021
POL101,Intro to Political Science,3,A,Spring2021
BEN205,Bengali Literature,3,B+,Spring2021
ANT101,Anthropology,3,A,Summer2021
SOC101,Intro to Sociology,3,W,Summer2021
BUS173,Applied Statistics,3,B,Summer2021
PSY101,Intro to Psychology,3,C-,Fall2021
PBH101L,Public Health Lab,1,W,Fall2021
ENV107L,Environmental Science Lab,1,C+,Fall2021
PBH101,Public Health,3,B-,Fall2021
PSY101L,Psychology Lab,1,D+,Fall2021
ENV107,Environmental Science,3,A,Fall2021
SCM310,Supply Chain Management,3,A,Spring2022
HIS205,Modern History,3,A,Spring2022
HIS101,Bangladesh History,3,D,Spring2022
SCM450,Supply Chain Analytics,3,B+,Spring2022
HIS103,History of South Asia,3,W,Spring2022
MGT490,Project Management,3,F,Summer2022
SCM320,Procurement and Inventory,3,B+,Summer2022
MGT390,Warehouse Management,3,B-,Summer2022
MGT360,Global Supply Chain,3,B-,Summer2022
MGT470,Quality Management,3,B,Summer2022
MGT490,Project Management,3,F,Fall2022
MGT460,Logistics Management,3,C-,Fall2022
MGT489,Strategic Management,3,B-,Fall2022
MGT490,Project Management,3,C+,Spring2023
BUS498,Internship,4,F,Fall2023
