course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,D,Spring2020
ACT201,Intro to Financial Accounting,3,F,Spring2020
MGT212,Principles of Management,3,C+,Spring2020
MKT202,Introduction to Marketing,3,C-,Spring2020
ECO104,Intro to Macroeconomics,3,B-,Summer2020
ACT201,Intro to Financial Accounting,3,D,Summer2020
BUS251,Business Communication,3,D+,Summer2020
MIS107,Introduction to Computers,3,C+,Summer2020
BUS135,Business Mathematics,3,F,Summer2020
LAW200,Legal Environment of Business,3,C,Fall2020
MIS207,Management Information Systems,3,D+,Fall2020
INB372,International Business,3,B-,Fall2020
BUS135,Business Mathematics,3,C-,Spring2021
MGT351,Human Resource Management,3,D,Spring2021
MGT368,Entrepreneurship,3,D+,Spring2021
BUS172,Introduction to Statistics,3,D,Summer2021
BEN205,Bengali Literature,3,C+,Summer2021
ACT202,Intro to Managerial Accounting,3,B-,Summer2021
