course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,A-,Spring2022
BUS135,Business Mathematics,3,B-,Spring2022
ACT201,Intro to Financial Accounting,3,B+,Spring2022
ENG103,Intermediate Composition,3,C,Spring2022
LAW200,Legal Environment of Business,3,B,Summer2022
ECO104,Intro to Macroeconomics,3,A-,Summer2022
BUS172,Introduction to Statistics,3,B,Summer2022
MGT212,Principles of Management,3,B+,Summer2022
MIS107,Introduction to Computers,3,B,Summer2022
MKT202,Introduction to Marketing,3,B+,Summer2022
