course_code,course_name,credits,grade,semester
CSE101,Introduction to Python Programming,3,C+,Spring2019
MAT112,College Algebra,0,T,Spring2019
CSE299,Junior Design Project,1,A,Spring2019
MAT120,Calculus I,3,B,Spring2019
MAT116,Pre-Calculus,0,T,Spring2019
ENG105,Advanced Composition,3,D,Spring2019
CSE115,Programming Language I,3,B+,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
CSE173,Discrete Mathematics,3,C,Summer2019
ENV203,Environmental Studies,3,C-,Summer2019
MAT130,Calculus II,3,C+,Summer2019
