course_code,course_name,credits,grade,semester
BUS135,Business Mathematics,3,D+,Spring2019
MKT202,Introduction to Marketing,3,F,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,C+,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
ECO104,Intro to Macroeconomics,3,D+,Summer2019
BUS172,Introduction to Statistics,3,C,Summer2019
ENG103,Intermediate Composition,3,D+,Summer2019
MGT212,Principles of Management,3,D+,Summer2019
MIS107,Introduction to Computers,3,C-,Fall2019
MKT202,Introduction to Marketing,3,D+,Fall2019
BUS173,Applied Statistics,3,F,Spring2020
ACT201,Intro to Financial Accounting,3,C,Spring2020
LAW200,Legal Environment of Business,3,I,Spring2020
FIN254,Intro to Financial Management,3,F,Summer2020
LAW200,Legal Environment of Business,3,B,Summer2020
BUS173,Applied Statistics,3,B-,Summer2020
ACT202,Intro to Managerial Accounting,3,C-,Fall2020
FIN254,Intro to Financial Management,3,C,Fall2020
MIS207,Management Information Systems,3,C-,Fall2020
BUS251,Business Communication,3,B-,Spring2021
MGT351,Human Resource Management,3,F,Spring2021
MGT368,Entrepreneurship,3,C+,Spring2021
MGT351,Human Resource Management,3,C+,Summer2021
INB372,International Business,3,C+,Summer2021
PHI401,Ethics / Philosophy,3,B,Summer2021
ENG115,English Literature,3,B,Fall2021
ENG105,Advanced Composition,3,C-,Fall2021
MGT314,Production Management,3,F,Spring2022
POL104,Political Science,3,F,Spring2022
GEO205,Geography,3,F,Spring2022
PAD201,Public Administration,3,C,Spring2022
BIO103,Biology I,3,C-,Summer2022
ANT101,Anthropology,3,C,Summer2022
BIO103L,Biology I Lab,1,I,Summer2022
MGT314,Production Management,3,D,Summer2022
