course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
BUS135,Business Mathematics,3,D+,Spring2019
ECO101,Intro to Microeconomics,3,C+,Spring2019
MKT202,Introduction to Marketing,3,C,Spring2019
ECO104,Intro to Macroeconomics,3,D+,Summer2019
BUS172,Introduction to Statistics,3,C+,Summer2019
ACT201,Intro to Financial Accounting,3,D,Summer2019
MGT212,Principles of Management,3,B-,Fall2019
FIN254,Intro to Financial Management,3,C,Fall2019
BUS251,Business Communication,3,D,Spring2020
BUS173,Applied Statistics,3,C+,Spring2020
MIS107,Introduction to Computers,3,D+,Spring2020
INB372,International Business,3,C-,Summer2020
LAW200,Legal Environment of Business,3,C,Summer2020
MGT351,Human Resource Management,3,F,Fall2020
MIS207,Management Information Systems,3,B,Spring2021
MGT314,Production Management,3,B,Spring2021
ACT202,Intro to Managerial Accounting,3,C-,Spring2021
ENG115,English Literature,3,C+,Summer2021
MGT368,Entrepreneurship,3,C+,Summer2021
BEN205,Bengali Literature,3,C,Summer2021
PHI401,Ethics / Philosophy,3,B-,Fall2021
POL104,Political Science,3,C,Fall2021
SOC101,Intro to Sociology,3,B,Spring2022
ANT101,Anthropology,3,C-,Spring2022
MGT351,Human Resource Management,3,B,Summer2022
ENV107,Environmental Science,3,B-,Fall2022
HIS102,World Civilization,3,D,Spring2023
HIS205,Modern History,3,B-,Summer2023
HIS101,Bangladesh History,3,B-,Summer2023
MKT344,Consumer Behaviour,3,C-,Fall2023
MKT470,Marketing Research,3,C-,Fall2023
MKT337,Promotional Management,3,D,Fall2023
