course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,T,Fall2021
BUS135,Business Mathematics,3,T,Fall2021
MIS107,Introduction to Computers,3,B+,Fall2021
ACT201,Intro to Financial Accounting,3,T,Fall2021
MGT212,Principles of Management,3,B+,Fall2021
BUS172,Introduction to Statistics,3,T,Spring2022
MKT202,Introduction to Marketing,3,A-,Spring2022
ECO104,Intro to Macroeconomics,3,A,Spring2022
BUS173,Applied Statistics,3,A-,Summer2022
INB372,International Business,3,T,Summer2022
ACT202,Intro to Managerial Accounting,3,C+,Summer2022
BUS251,Business Communication,3,B,Summer2022
PHI401,Ethics / Philosophy,3,A-,Fall2022
MGT368,Entrepreneurship,3,A-,Fall2022
MIS207,Management Information Systems,3,B+,Fall2022
MGT351,Human Resource Management,3,C,Fall2022
MGT314,Production Management,3,B,Fall2022
FIN254,Intro to Financial Management,3,A,Spring2023
LAW200,Legal Environment of Business,3,A,Spring2023
CHN101,Chinese Language,3,B,Spring2023
