course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
MGT212,Principles of Management,3,W,Fall2019
ECO101,Intro to Microeconomics,3,C+,Fall2019
ECO104,Intro to Macroeconomics,3,C,Spring2020
ACT201,Intro to Financial Accounting,3,B,Spring2020
BUS135,Business Mathematics,3,F,Spring2020
MGT212,Principles of Management,3,A,Summer2020
MKT202,Introduction to Marketing,3,B+,Summer2020
BUS135,Business Mathematics,3,B+,Fall2020
LAW200,Legal Environment of Business,3,B,Fall2020
ACT202,Intro to Managerial Accounting,3,C+,Fall2020
INB372,International Business,3,B,Spring2021
BUS172,Introduction to Statistics,3,A,Spring2021
BUS173,Applied Statistics,3,W,Summer2021
FIN254,Intro to Financial Management,3,D,Summer2021
MIS107,Introduction to Computers,3,A,Fall2021
BUS173,Applied Statistics,3,D,Fall2021
MGT351,Human Resource Management,3,W,Spring2022
BUS251,Business Communication,3,A,Summer2022
MGT351,Human Resource Management,3,C,Fall2022
BEN205,Bengali Literature,3,B,Spring2023
PHI401,Ethics / Philosophy,3,W,Spring2023
MGT368,Entrepreneurship,3,B,Spring2023
MIS207,Management Information Systems,3,W,Summer2023
PHI401,Ethics / Philosophy,3,F,Fall2023
MGT314,Production Management,3,W,Fall2023
MGT314,Production Management,3,W,Spring2024
MIS207,Management Information Systems,3,C,Spring2024
