course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
MGT212,Principles of Management,3,D,Summer2021
ECO101,Intro to Microeconomics,3,W,Summer2021
ACT201,Intro to Financial Accounting,3,B-,Summer2021
MKT202,Introduction to Marketing,3,D+,Fall2021
ACT202,Intro to Managerial Accounting,3,F,Fall2021
ECO101,Intro to Microeconomics,3,C-,Fall2021
MIS107,Introduction to Computers,3,C,Fall2021
ACT202,Intro to Managerial Accounting,3,C,Spring2022
BUS135,Business Mathematics,3,D+,Spring2022
BUS251,Business Communication,3,D,Spring2022
INB372,International Business,3,D,Spring2022
