course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,C+,Spring2019
ENG103,Intermediate Composition,3,C+,Spring2019
BUS251,Business Communication,3,C+,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
MIS107,Introduction to Computers,3,A,Spring2019
MGT212,Principles of Management,3,C+,Spring2019
INB372,International Business,3,B-,Summer2019
ACT201,Intro to Financial Accounting,3,B+,Summer2019
LAW200,Legal Environment of Business,3,C+,Summer2019
ENG105,Advanced Composition,3,C-,Fall2019
MIS207,Management Information Systems,3,C-,Fall2019
ECO101,Intro to Microeconomics,3,C-,Fall2019
MGT351,Human Resource Management,3,B-,Fall2019
ACT202,Intro to Managerial Accounting,3,B-,Fall2019
ENG115,English Literature,3,D+,Spring2020
MGT314,Production Management,3,D,Spring2020
MGT368,Entrepreneurship,3,D,Spring2020
PHI401,Ethics / Philosophy,3,D+,Spring2020
POL104,Political Science,3,W,Summer2020
PAD201,Public Administration,3,A-,Summer2020
POL101,Intro to Political Science,3,F,Summer2020
ENV107L,Environmental Science Lab,1,B,Fall2020
GEO205,Geography,3,C,Fall2020
SOC101,Intro to Sociology,3,W,Fall2020
ANT101,Anthropology,3,B+,Fall2020
ENV107,Environmental Science,3,A,Fall2020
HIS103,History of South Asia,3,C-,Spring2021
HIS102,World Civilization,3,B,Spring2021
HIS101,Bangladesh History,3,B+,Spring2021
MIS470,IT Project Management,3,C,Summer2021
MIS320,IT for Managers,3,D+,Summer2021
MIS330,Database Systems,3,B,Summer2021
MIS210,Computer Programming,3,D+,Summer2021
ECO104,Intro to Macroeconomics,3,D+,Fall2021
MIS450,IS Security,3,F,Fall2021
MGT490,Project Management,3,B-,Fall2021
MIS310,Systems Analysis,3,B,Spring2022
MIS410,Systems Design,3,C,Spring2022
MIS450,IS Security,3,C,Spring2022
BUS498,Internship,4,C,Spring2022
MIS499,Special Topics in MIS,3,B,Spring2022
