course_code,course_name,credits,grade,semester
CSE115L,Programming Language I Lab,1,B-,Fall2020
CSE145,Introduction to Artificial Intelligence,3,B,Fall2020
CHE101,Chemistry I,3,A-,Fall2020
CHE101L,Chemistry I Lab,1,C-,Fall2020
PHY108L,Physics II Lab,1,C+,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,B,Fall2020
PHY107L,Physics I Lab,1,B,Spring2021
CSE215L,Programming Language II Lab,1,B+,Spring2021
BIO103L,Biology I Lab,1,B+,Spring2021
CSE311L,Database Management Systems Lab,1,B,Spring2021
CSE115,Programming Language I,3,B,Summer2021
HIS101,Bangladesh History,3,B+,Summer2021
CSE231L,Digital Logic Design Lab,1,B-,Summer2021
CSE299,Junior Design Project,1,A-,Summer2021
MAT125,Linear Algebra,3,A,Fall2021
CSE331L,Microprocessor Interfacing Lab,1,A,Fall2021
PHY108,Physics II,3,B-,Fall2021
CSE331,Microprocessor Interfacing,3,B+,Fall2021
LAW200,Legal Environment of Business,3,C-,Spring2022
MKT202,Introduction to Marketing,3,W,Spring2022
ACT380,Audit and Assurance,3,C+,Spring2022
INB372,International Business,3,C+,Spring2022
PHI401,Ethics / Philosophy,3,A-,Summer2022
MIS107,Introduction to Computers,3,B+,Summer2022
MGT212,Principles of Management,3,B-,Summer2022
ACT430,Accounting Information Systems,3,A-,Summer2022
ECO101,Intro to Microeconomics,3,A-,Summer2022
ACT201,Intro to Financial Accounting,3,F,Fall2022
MKT202,Introduction to Marketing,3,B-,Fall2022
ACT460,Advanced Financial Accounting,3,C-,Fall2022
MGT351,Human Resource Management,3,A,Fall2022
BUS251,Business Communication,3,C-,Fall2022
ACT360,Advanced Managerial Accounting,3,F,Spring2023
MIS207,Management Information Systems,3,C-,Spring2023
ACT201,Intro to Financial Accounting,3,A,Spring2023
ACT310,Intermediate Accounting I,3,C,Spring2023
ACT410,Financial Statement Analysis,3,C,Summer2023
ACT202,Intro to Managerial Accounting,3,A,Summer2023
ACT320,Intermediate Accounting II,3,C,Summer2023
MGT368,Entrepreneurship,3,C+,Summer2023
ECO104,Intro to Macroeconomics,3,D+,Fall2023
MGT314,Production Management,3,F,Fall2023
ACT370,Taxation,3,D,Fall2023
ACT360,Advanced Managerial Accounting,3,C+,Fall2023
MGT314,Production Management,3,W,Spring2024
