course_code,course_name,credits,grade,semester
CEE110,Engineering Drawing,1,B-,Spring2022
PHY108L,Physics II Lab,1,A,Spring2022
CSE215L,Programming Language II Lab,1,C+,Spring2022
CSE115,Programming Language I,3,B,Spring2022
CSE115L,Programming Language I Lab,1,B,Spring2022
MAT116,Pre-Calculus,3,C,Spring2022
ENG105,Advanced Composition,3,B-,Summer2022
BIO103L,Biology I Lab,1,B,Summer2022
CSE173,Discrete Mathematics,3,C,Summer2022
MAT120,Calculus I,3,B-,Summer2022
CSE215,Programming Language II,3,B,Fall2022
EEE141,Electrical Circuits I,3,A-,Fall2022
MAT130,Calculus II,3,B+,Fall2022
HIS102,World Civilization,3,B+,Fall2022
POL101,Intro to Political Science,3,B,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,A-,Spring2023
MAT250,Calculus III,3,A,Spring2023
GEO205,Geography,3,B+,Spring2023
CSE225,Data Structures & Algorithms,3,B-,Spring2023
CSE231,Digital Logic Design,3,B+,Summer2023
PHY107L,Physics I Lab,1,A-,Summer2023
CSE231L,Digital Logic Design Lab,1,B+,Summer2023
CHE101,Chemistry I,3,C+,Summer2023
CSE226,Fundamentals of Vibe Coding,3,C+,Summer2023
PHY107,Physics I,3,C,Summer2023
CHE101L,Chemistry I Lab,1,A-,Summer2023
CSE332,Computer Organization & Architecture,3,C+,Fall2023
CSE101,Introduction to Python Programming,3,C,Fall2023
CSE311L,Database Management Systems Lab,1,B-,Fall2023
BIO103,Biology I,3,A,Fall2023
CSE299,Junior Design Project,1,A,Fall2023
