course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
ENG103,Intermediate Composition,3,A,Summer2021
ACT201,Intro to Financial Accounting,3,B-,Summer2021
BUS135,Business Mathematics,3,B+,Summer2021
MGT212,Principles of Management,3,A-,Summer2021
MKT202,Introduction to Marketing,3,B,Summer2021
ECO101,Intro to Microeconomics,3,A-,Summer2021
INB372,International Business,3,A,Fall2021
BUS251,Business Communication,3,A,Fall2021
MIS107,Introduction to Computers,3,B,Fall2021
LAW200,Legal Environment of Business,3,A-,Fall2021
ECO104,Intro to Macroeconomics,3,A-,Fall2021
BUS172,Introduction to Statistics,3,A-,Fall2021
FIN254,Intro to Financial Management,3,B,Spring2022
MGT314,Production Management,3,B,Spring2022
ACT202,Intro to Managerial Accounting,3,A,Spring2022
MGT368,Entrepreneurship,3,B,Spring2022
MIS207,Management Information Systems,3,B+,Spring2022
ENG115,English Literature,3,B+,Summer2022
ENG105,Advanced Composition,3,B-,Summer2022
BEN205,Bengali Literature,3,B+,Summer2022
MGT351,Human Resource Management,3,A,Summer2022
PAD201,Public Administration,3,C+,Fall2022
BUS173,Applied Statistics,3,C-,Fall2022
POL104,Political Science,3,B-,Fall2022
ANT101,Anthropology,3,C+,Fall2022
PHI401,Ethics / Philosophy,3,B+,Fall2022
SOC101,Intro to Sociology,3,C-,Fall2022
ENV107,Environmental Science,3,C-,Spring2023
CHE101L,Chemistry I Lab,1,B-,Spring2023
ENV107L,Environmental Science Lab,1,C-,Spring2023
PHY107L,Physics I Lab,1,C+,Spring2023
PHY107,Physics I,3,C+,Spring2023
HIS102,World Civilization,3,D+,Spring2023
BIO103,Biology I,3,C+,Spring2023
CHE101,Chemistry I,3,B-,Spring2023
PSY101,Intro to Psychology,3,D+,Spring2023
BIO103L,Biology I Lab,1,C-,Spring2023
FIN433,Financial Markets and Institutions,3,D+,Summer2023
HIS101,Bangladesh History,3,D+,Summer2023
FIN440,Corporate Finance,3,D,Summer2023
HIS103,History of South Asia,3,D+,Summer2023
MGT489,Strategic Management,3,D,Summer2023
FIN464,Derivatives,3,D,Fall2023
FIN444,International Financial Management,3,D,Fall2023
FIN455,Financial Modelling Using Excel,3,F,Fall2023
BUS498,Internship,4,F,Fall2023
FIN480,Behavioural Finance,3,D,Fall2023
FIN410,Financial Statement Analysis,3,F,Fall2023
FIN435,Investment Theory,3,F,Fall2023
