course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
ECO101,Intro to Microeconomics,3,B,Fall2019
ACT201,Intro to Financial Accounting,3,B,Fall2019
MGT212,Principles of Management,3,D,Fall2019
ENG103,Intermediate Composition,3,C,Spring2020
MKT202,Introduction to Marketing,3,A,Spring2020
MIS107,Introduction to Computers,3,C+,Spring2020
ACT202,Intro to Managerial Accounting,3,B+,Summer2020
INB372,International Business,3,D+,Summer2020
BUS251,Business Communication,3,C+,Summer2020
LAW200,Legal Environment of Business,3,B-,Summer2020
MGT351,Human Resource Management,3,A,Fall2020
ECO104,Intro to Macroeconomics,3,A-,Fall2020
MGT368,Entrepreneurship,3,C,Spring2021
MGT314,Production Management,3,C+,Spring2021
PHI401,Ethics / Philosophy,3,C,Summer2021
BUS135,Business Mathematics,3,C+,Summer2021
BEN205,Bengali Literature,3,D,Fall2021
MIS207,Management Information Systems,3,W,Fall2021
ENG105,Advanced Composition,3,F,Spring2022
POL104,Political Science,3,B+,Spring2022
PAD201,Public Administration,3,D,Spring2022
BUS172,Introduction to Statistics,3,B+,Spring2022
ENG105,Advanced Composition,3,C,Summer2022
FIN254,Intro to Financial Management,3,C+,Summer2022
BUS173,Applied Statistics,3,B+,Fall2022
GEO205,Geography,3,C,Fall2022
MIS207,Management Information Systems,3,D+,Spring2023
BIO103,Biology I,3,B,Spring2023
PHY107,Physics I,3,C-,Spring2023
BIO103L,Biology I Lab,1,B+,Spring2023
ENV107L,Environmental Science Lab,1,B-,Spring2023
PHY107L,Physics I Lab,1,C-,Spring2023
ENV107,Environmental Science,3,D+,Spring2023
