course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,C,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
BUS135,Business Mathematics,3,C,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
ECO101,Intro to Microeconomics,3,A,Spring2019
MKT202,Introduction to Marketing,3,A,Summer2019
BUS172,Introduction to Statistics,3,B,Summer2019
ENG103,Intermediate Composition,3,C-,Summer2019
MIS107,Introduction to Computers,3,F,Summer2019
BUS251,Business Communication,3,A,Summer2019
