course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,C+,Fall2019
MGT212,Principles of Management,3,A,Fall2019
ACT201,Intro to Financial Accounting,3,F,Fall2019
BUS251,Business Communication,3,F,Fall2019
MKT202,Introduction to Marketing,3,D+,Fall2019
ACT201,Intro to Financial Accounting,3,W,Spring2020
MIS207,Management Information Systems,3,C,Spring2020
MIS107,Introduction to Computers,3,A,Spring2020
BUS251,Business Communication,3,C,Spring2020
ACT201,Intro to Financial Accounting,3,B,Summer2020
ECO101,Intro to Microeconomics,3,D,Summer2020
MGT351,Human Resource Management,3,W,Summer2020
MGT368,Entrepreneurship,3,B,Summer2020
PHI401,Ethics / Philosophy,3,B-,Summer2020
MGT314,Production Management,3,A,Fall2020
MGT351,Human Resource Management,3,A-,Fall2020
BEN205,Bengali Literature,3,C,Fall2020
INB372,International Business,3,A,Fall2020
ECO104,Intro to Macroeconomics,3,C+,Fall2020
POL104,Political Science,3,F,Spring2021
PAD201,Public Administration,3,C,Spring2021
SOC101,Intro to Sociology,3,A-,Spring2021
