course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,B-,Summer2019
MKT202,Introduction to Marketing,3,F,Summer2019
ACT201,Intro to Financial Accounting,3,C-,Summer2019
MIS107,Introduction to Computers,3,C,Summer2019
MKT202,Introduction to Marketing,3,C,Fall2019
BUS135,Business Mathematics,3,D+,Fall2019
BUS251,Business Communication,3,D,Fall2019
MGT212,Principles of Management,3,D+,Spring2020
ECO104,Intro to Macroeconomics,3,C+,Spring2020
INB372,International Business,3,C,Spring2020
BUS172,Introduction to Statistics,3,F,Spring2020
LAW200,Legal Environment of Business,3,F,Summer2020
ACT202,Intro to Managerial Accounting,3,D+,Summer2020
LAW200,Legal Environment of Business,3,C-,Fall2020
BUS172,Introduction to Statistics,3,D,Fall2020
MGT368,Entrepreneurship,3,D,Fall2020
MGT351,Human Resource Management,3,D,Fall2020
BEN205,Bengali Literature,3,C,Spring2021
MIS207,Management Information Systems,3,D+,Spring2021
MGT314,Production Management,3,B-,Spring2021
PHI401,Ethics / Philosophy,3,D+,Spring2021
POL104,Political Science,3,D,Summer2021
BUS173,Applied Statistics,3,C+,Summer2021
FIN254,Intro to Financial Management,3,C+,Fall2021
GEO205,Geography,3,C,Fall2021
ENV107,Environmental Science,3,C-,Fall2021
ANT101,Anthropology,3,B-,Fall2021
HIS101,Bangladesh History,3,C+,Spring2022
HIS205,Modern History,3,B,Spring2022
