course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MIS107,Introduction to Computers,3,B+,Summer2020
ENG103,Intermediate Composition,3,A,Summer2020
ACT201,Intro to Financial Accounting,3,A-,Summer2020
MGT212,Principles of Management,3,A-,Summer2020
ECO101,Intro to Microeconomics,3,B+,Summer2020
ACT202,Intro to Managerial Accounting,3,C+,Fall2020
BUS251,Business Communication,3,C-,Fall2020
INB372,International Business,3,C,Fall2020
LAW200,Legal Environment of Business,3,A-,Fall2020
MKT202,Introduction to Marketing,3,B,Spring2021
ECO104,Intro to Macroeconomics,3,C-,Spring2021
MGT314,Production Management,3,A-,Spring2021
MGT351,Human Resource Management,3,B,Spring2021
MIS207,Management Information Systems,3,C-,Spring2021
ENG105,Advanced Composition,3,B,Summer2021
ENG115,English Literature,3,A-,Summer2021
MGT368,Entrepreneurship,3,F,Summer2021
PAD201,Public Administration,3,A,Fall2021
SOC101,Intro to Sociology,3,C-,Fall2021
PHI401,Ethics / Philosophy,3,D+,Fall2021
POL104,Political Science,3,D,Fall2021
PBH101L,Public Health Lab,1,B+,Spring2022
PBH101,Public Health,3,C,Spring2022
MGT368,Entrepreneurship,3,D,Spring2022
BIO103,Biology I,3,F,Spring2022
HIS101,Bangladesh History,3,B,Summer2022
HIS103,History of South Asia,3,B,Summer2022
HRM360,Planning and Staffing,3,C+,Summer2022
HIS102,World Civilization,3,B-,Summer2022
HIS205,Modern History,3,F,Summer2022
HRM470,Negotiations,3,C+,Fall2022
HRM340,Training and Development,3,W,Fall2022
HRM499,Special Topics in HRM,3,D+,Fall2022
HRM450,Industrial Relations,3,B-,Fall2022
HRM340,Training and Development,3,C-,Spring2023
HRM370,Managerial Skill Development,3,B+,Spring2023
HRM380,Compensation Theory and Practice,3,D+,Spring2023
