course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ECO101,Intro to Microeconomics,3,T,Summer2022
MKT202,Introduction to Marketing,3,A,Summer2022
ENG103,Intermediate Composition,3,C+,Fall2022
ACT201,Intro to Financial Accounting,3,A-,Fall2022
MIS107,Introduction to Computers,3,C+,Fall2022
MGT212,Principles of Management,3,B+,Spring2023
ECO104,Intro to Macroeconomics,3,B,Spring2023
BUS251,Business Communication,3,A,Spring2023
LAW200,Legal Environment of Business,3,B,Spring2023
ACT202,Intro to Managerial Accounting,3,A-,Summer2023
MIS207,Management Information Systems,3,B+,Summer2023
MGT351,Human Resource Management,3,C+,Summer2023
MGT314,Production Management,3,T,Fall2023
PHI401,Ethics / Philosophy,3,B+,Fall2023
ENG105,Advanced Composition,3,B,Fall2023
