course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,B+,Summer2019
MKT202,Introduction to Marketing,3,T,Fall2019
MIS107,Introduction to Computers,3,C+,Fall2019
BUS135,Business Mathematics,3,C+,Fall2019
BUS251,Business Communication,3,B+,Spring2020
BUS172,Introduction to Statistics,3,B+,Spring2020
MGT212,Principles of Management,3,A,Summer2020
BUS173,Applied Statistics,3,B+,Summer2020
ACT202,Intro to Managerial Accounting,3,A,Summer2020
LAW200,Legal Environment of Business,3,A-,Fall2020
INB372,International Business,3,B+,Fall2020
FIN254,Intro to Financial Management,3,T,Spring2021
