course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,0,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
CSE115,Programming Language I,3,B,Spring2022
PHY108,Physics II,3,W,Spring2022
BIO103,Biology I,3,B,Spring2022
MAT120,Calculus I,3,C,Spring2022
CSE115L,Programming Language I Lab,1,C+,Spring2022
CSE173,Discrete Mathematics,3,W,Summer2022
CSE331,Microprocessor Interfacing,3,B,Summer2022
PHI104,Introduction to Ethics,3,W,Summer2022
MAT130,Calculus II,3,W,Summer2022
MAT130,Calculus II,3,W,Fall2022
CSE173,Discrete Mathematics,3,W,Fall2022
CSE173,Discrete Mathematics,3,W,Spring2023
MAT130,Calculus II,3,W,Spring2023
MAT130,Calculus II,3,W,Summer2023
CSE173,Discrete Mathematics,3,C+,Summer2023
CSE311L,Database Management Systems Lab,1,W,Summer2023
BIO103L,Biology I Lab,1,W,Summer2023
CSE215L,Programming Language II Lab,1,C+,Fall2023
MAT130,Calculus II,3,B,Fall2023
PHY108L,Physics II Lab,1,W,Fall2023
CSE215,Programming Language II,3,C,Fall2023
CSE225,Data Structures & Algorithms,3,C,Spring2024
MAT250,Calculus III,3,W,Spring2024
