course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,I,Summer2019
ECO101,Intro to Microeconomics,3,B-,Summer2019
ACT201,Intro to Financial Accounting,3,F,Fall2019
MKT202,Introduction to Marketing,3,C-,Fall2019
MIS107,Introduction to Computers,3,C,Spring2020
ACT201,Intro to Financial Accounting,3,D,Spring2020
ECO104,Intro to Macroeconomics,3,D,Spring2020
ACT202,Intro to Managerial Accounting,3,C,Summer2020
BUS251,Business Communication,3,D,Summer2020
INB372,International Business,3,C-,Fall2020
LAW200,Legal Environment of Business,3,C+,Fall2020
PHI401,Ethics / Philosophy,3,B-,Fall2020
MIS207,Management Information Systems,3,D,Fall2020
POL101,Intro to Political Science,3,C-,Spring2021
MGT212,Principles of Management,3,C+,Spring2021
CHN101,Chinese Language,3,C,Spring2021
MGT368,Entrepreneurship,3,C+,Summer2021
MGT314,Production Management,3,I,Summer2021
GEO205,Geography,3,F,Summer2021
ANT101,Anthropology,3,B,Summer2021
