course_code,course_name,credits,grade,semester
MAT112,College Algebra,0,T,Spring2019
MAT116,Pre-Calculus,3,D,Spring2020
CSE115L,Programming Language I Lab,1,D,Spring2020
CSE115,Programming Language I,3,C-,Spring2020
MAT120,Calculus I,3,D,Summer2020
CSE173,Discrete Mathematics,3,C-,Summer2020
CSE215L,Programming Language II Lab,1,F,Fall2020
CSE331L,Microprocessor Interfacing Lab,1,C-,Fall2020
CSE215,Programming Language II,3,D+,Fall2020
MAT130,Calculus II,3,C-,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,D,Spring2021
ECO104,Intro to Macroeconomics,3,B-,Spring2021
CSE225,Data Structures & Algorithms,3,C,Spring2021
PHY108L,Physics II Lab,1,D,Spring2021
MAT250,Calculus III,3,C,Spring2021
CSE215L,Programming Language II Lab,1,F,Summer2021
CSE231L,Digital Logic Design Lab,1,C,Summer2021
CSE145,Introduction to Artificial Intelligence,3,D+,Summer2021
CSE231,Digital Logic Design,3,C+,Summer2021
BIO103,Biology I,3,I,Summer2021
ENG111,Public Speaking,3,D+,Fall2021
CSE332,Computer Organization & Architecture,3,C,Fall2021
CSE215L,Programming Language II Lab,1,D+,Fall2021
EEE452,Engineering Economics,3,C+,Spring2022
HIS101,Bangladesh History,3,D+,Spring2022
CSE299,Junior Design Project,1,C-,Spring2022
CSE311,Database Management Systems,3,F,Spring2022
CSE311,Database Management Systems,3,C,Summer2022
CSE311L,Database Management Systems Lab,1,C+,Summer2022
CSE327,Software Engineering,3,C+,Fall2022
CSE323,Operating Systems Design,3,B-,Fall2022
CSE101,Introduction to Python Programming,3,B,Fall2022
