course_code,course_name,credits,grade,semester
CSE115L,Programming Language I Lab,1,C+,Spring2020
HIS102,World Civilization,3,A,Spring2020
CEE110,Engineering Drawing,1,C,Spring2020
CSE215L,Programming Language II Lab,1,B+,Spring2020
CSE425,Concepts of Programming Languages,3,A,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,B+,Summer2020
MAT116,Pre-Calculus,3,B+,Summer2020
CHE101L,Chemistry I Lab,1,B+,Summer2020
PHY107L,Physics I Lab,1,A-,Summer2020
CHE101,Chemistry I,3,A-,Summer2020
CSE331,Microprocessor Interfacing,3,A,Summer2020
EEE141L,Electrical Circuits I Lab,1,C,Summer2020
EEE111L,Analog Electronics I Lab,1,B-,Fall2020
ENG103,Intermediate Composition,3,B-,Fall2020
HIS101,Bangladesh History,3,B,Fall2020
EEE141,Electrical Circuits I,3,B+,Fall2020
CSE327,Software Engineering,3,B-,Fall2020
EEE111,Analog Electronics I,3,B,Fall2020
CSE311L,Database Management Systems Lab,1,B-,Spring2021
CSE101,Introduction to Python Programming,3,B,Spring2021
PHI104,Introduction to Ethics,3,A-,Spring2021
ENG105,Advanced Composition,3,A,Spring2021
CSE225L,Data Structures & Algorithms Lab,1,A-,Spring2021
INB415,Emerging Markets,3,F,Summer2021
INB355,Country Risk Analysis,3,D,Summer2021
INB480,Global Business Strategy,3,B,Summer2021
LAW200,Legal Environment of Business,3,B-,Summer2021
INB415,Emerging Markets,3,D+,Fall2021
BUS251,Business Communication,3,F,Fall2021
MIS207,Management Information Systems,3,B,Fall2021
INB350,International Business Negotiation,3,A,Spring2022
MIS107,Introduction to Computers,3,W,Spring2022
MKT417,Export-Import Management,3,F,Spring2022
BUS251,Business Communication,3,C+,Spring2022
MKT202,Introduction to Marketing,3,C-,Summer2022
MIS107,Introduction to Computers,3,C+,Summer2022
INB490,Cross-Cultural Management,3,C-,Summer2022
MKT382,International Marketing,3,C+,Summer2022
