course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
CSE115L,Programming Language I Lab,1,W,Spring2019
EEE452,Engineering Economics,3,B-,Spring2019
CSE115,Programming Language I,3,B+,Spring2019
CSE331L,Microprocessor Interfacing Lab,1,B+,Spring2019
CSE425,Concepts of Programming Languages,3,B-,Summer2019
CSE115L,Programming Language I Lab,1,A,Summer2019
MAT120,Calculus I,3,C,Summer2019
PHY108L,Physics II Lab,1,B-,Summer2019
CSE173,Discrete Mathematics,3,D+,Summer2019
