course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
MIS107,Introduction to Computers,3,C,Fall2022
MGT212,Principles of Management,3,W,Fall2022
ENG103,Intermediate Composition,3,C-,Fall2022
ECO101,Intro to Microeconomics,3,D,Fall2022
MGT212,Principles of Management,3,D,Spring2023
ACT201,Intro to Financial Accounting,3,F,Spring2023
ACT201,Intro to Financial Accounting,3,C-,Summer2023
LAW200,Legal Environment of Business,3,D,Summer2023
BUS251,Business Communication,3,W,Summer2023
MKT202,Introduction to Marketing,3,F,Summer2023
BUS251,Business Communication,3,C-,Fall2023
MKT202,Introduction to Marketing,3,C+,Fall2023
ECO104,Intro to Macroeconomics,3,D+,Spring2024
MIS207,Management Information Systems,3,C-,Spring2024
ACT202,Intro to Managerial Accounting,3,B-,Summer2024
MGT351,Human Resource Management,3,C-,Summer2024
MGT368,Entrepreneurship,3,D+,Summer2024
PHI401,Ethics / Philosophy,3,C,Fall2024
ENG105,Advanced Composition,3,F,Fall2024
INB372,International Business,3,W,Fall2024
ENG115,English Literature,3,B-,Fall2024
