course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ECO101,Intro to Microeconomics,3,D,Fall2019
MGT212,Principles of Management,3,D,Fall2019
ENG103,Intermediate Composition,3,C,Fall2019
BUS251,Business Communication,3,B,Spring2020
MIS107,Introduction to Computers,3,C,Spring2020
ECO104,Intro to Macroeconomics,3,B,Spring2020
MKT202,Introduction to Marketing,3,C+,Spring2020
ACT201,Intro to Financial Accounting,3,C,Summer2020
MIS207,Management Information Systems,3,B-,Summer2020
LAW200,Legal Environment of Business,3,D,Summer2020
INB372,International Business,3,C-,Summer2020
MGT314,Production Management,3,D+,Fall2020
MGT351,Human Resource Management,3,C,Fall2020
MGT368,Entrepreneurship,3,C-,Fall2020
BEN205,Bengali Literature,3,C+,Spring2021
ENG105,Advanced Composition,3,D+,Spring2021
ENG115,English Literature,3,D+,Spring2021
CHN101,Chinese Language,3,D,Spring2021
