course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,B+,Summer2020
MGT212,Principles of Management,3,C+,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
MKT202,Introduction to Marketing,3,A,Summer2020
BUS251,Business Communication,3,B-,Fall2020
INB372,International Business,3,B+,Fall2020
ECO104,Intro to Macroeconomics,3,A,Fall2020
MGT314,Production Management,3,B,Fall2020
MIS207,Management Information Systems,3,B,Fall2020
MGT351,Human Resource Management,3,B,Fall2020
ENG115,English Literature,3,A,Spring2021
ACT201,Intro to Financial Accounting,3,A-,Spring2021
PHI401,Ethics / Philosophy,3,A-,Spring2021
MGT368,Entrepreneurship,3,B+,Spring2021
POL101,Intro to Political Science,3,A,Summer2021
ACT202,Intro to Managerial Accounting,3,A-,Summer2021
SOC101,Intro to Sociology,3,A-,Summer2021
LAW200,Legal Environment of Business,3,B+,Summer2021
PBH101L,Public Health Lab,1,B,Fall2021
CHE101,Chemistry I,3,A-,Fall2021
PHY107,Physics I,3,C+,Fall2021
PSY101,Intro to Psychology,3,C-,Fall2021
PBH101,Public Health,3,B,Fall2021
PHY107L,Physics I Lab,1,C-,Fall2021
HIS101,Bangladesh History,3,B+,Fall2021
HIS205,Modern History,3,B-,Spring2022
MGT321,Organizational Behavior,3,C+,Spring2022
MGT410,Entrepreneurship II,3,C+,Spring2022
MGT330,Designing Effective Organizations,3,B-,Spring2022
MGT350,Managing Quality,3,C+,Spring2022
HIS102,World Civilization,3,B-,Spring2022
MIS320,IT for Managers,3,C-,Summer2022
HRM450,Industrial Relations,3,C-,Summer2022
HRM470,Negotiations,3,C-,Summer2022
MGT490,Project Management,3,B-,Summer2022
HRM370,Managerial Skill Development,3,D+,Summer2022
BUS498,Internship,4,D+,Spring2023
