course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ECO101,Intro to Microeconomics,3,A,Spring2020
ACT201,Intro to Financial Accounting,3,B,Spring2020
MKT202,Introduction to Marketing,3,W,Spring2020
ECO104,Intro to Macroeconomics,3,W,Summer2020
MGT212,Principles of Management,3,W,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
BUS135,Business Mathematics,3,A,Summer2020
MKT202,Introduction to Marketing,3,C+,Fall2020
MGT212,Principles of Management,3,C+,Fall2020
ECO104,Intro to Macroeconomics,3,W,Fall2020
ECO104,Intro to Macroeconomics,3,C+,Spring2021
LAW200,Legal Environment of Business,3,A,Spring2021
BUS172,Introduction to Statistics,3,C,Spring2021
MIS207,Management Information Systems,3,F,Spring2021
ACT202,Intro to Managerial Accounting,3,C,Spring2021
