course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,C+,Summer2022
LAW200,Legal Environment of Business,3,B,Summer2022
BUS251,Business Communication,3,B,Summer2022
MKT202,Introduction to Marketing,3,C+,Summer2022
ECO101,Intro to Microeconomics,3,B,Summer2022
ACT201,Intro to Financial Accounting,3,A-,Fall2022
MGT212,Principles of Management,3,B,Fall2022
ECO104,Intro to Macroeconomics,3,A,Fall2022
INB372,International Business,3,A,Fall2022
PHI401,Ethics / Philosophy,3,B+,Spring2023
MGT351,Human Resource Management,3,C+,Spring2023
MGT368,Entrepreneurship,3,A-,Spring2023
MGT314,Production Management,3,C+,Spring2023
MIS207,Management Information Systems,3,B,Spring2023
PAD201,Public Administration,3,C-,Summer2023
CHN101,Chinese Language,3,B+,Summer2023
POL101,Intro to Political Science,3,C,Summer2023
POL104,Political Science,3,C,Summer2023
ENG115,English Literature,3,B-,Summer2023
ANT101,Anthropology,3,A,Fall2023
PBH101,Public Health,3,B+,Fall2023
ENV107L,Environmental Science Lab,1,A,Fall2023
GEO205,Geography,3,C-,Fall2023
ACT202,Intro to Managerial Accounting,3,B+,Fall2023
ENV107,Environmental Science,3,B+,Fall2023
PBH101L,Public Health Lab,1,A-,Fall2023
ECO204,Intermediate Macroeconomics,3,A-,Spring2024
HIS205,Modern History,3,B-,Spring2024
HIS102,World Civilization,3,C+,Spring2024
HIS103,History of South Asia,3,C,Spring2024
HIS101,Bangladesh History,3,A,Spring2024
ECO348,Mathematical Economics,3,A-,Spring2024
