course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,F,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
BUS135,Business Mathematics,3,B,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
MGT212,Principles of Management,3,F,Spring2019
ACT201,Intro to Financial Accounting,3,D+,Summer2019
MKT202,Introduction to Marketing,3,D+,Summer2019
BUS172,Introduction to Statistics,3,D+,Summer2019
ECO101,Intro to Microeconomics,3,W,Summer2019
MGT212,Principles of Management,3,A,Summer2019
