course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,W,Spring2020
ECO101,Intro to Microeconomics,3,W,Spring2020
BUS251,Business Communication,3,W,Spring2020
ACT201,Intro to Financial Accounting,3,B+,Spring2020
LAW200,Legal Environment of Business,3,W,Spring2020
MGT212,Principles of Management,3,W,Summer2020
MKT202,Introduction to Marketing,3,B+,Summer2020
ECO101,Intro to Microeconomics,3,B,Summer2020
MIS107,Introduction to Computers,3,W,Fall2020
ECO104,Intro to Macroeconomics,3,C+,Fall2020
ACT202,Intro to Managerial Accounting,3,W,Fall2020
LAW200,Legal Environment of Business,3,W,Fall2020
MIS207,Management Information Systems,3,C,Spring2021
LAW200,Legal Environment of Business,3,B,Spring2021
MIS107,Introduction to Computers,3,F,Spring2021
MGT212,Principles of Management,3,A,Spring2021
BUS251,Business Communication,3,C,Spring2021
MGT368,Entrepreneurship,3,A,Summer2021
MGT351,Human Resource Management,3,B+,Summer2021
PHI401,Ethics / Philosophy,3,W,Summer2021
INB372,International Business,3,C+,Summer2021
ACT202,Intro to Managerial Accounting,3,B,Summer2021
BEN205,Bengali Literature,3,B,Fall2021
MIS107,Introduction to Computers,3,C,Fall2021
CHN101,Chinese Language,3,C,Fall2021
POL101,Intro to Political Science,3,C+,Fall2021
PHI401,Ethics / Philosophy,3,B+,Fall2021
SOC101,Intro to Sociology,3,W,Spring2022
GEO205,Geography,3,W,Spring2022
PBH101,Public Health,3,B,Spring2022
ENV107,Environmental Science,3,W,Spring2022
MGT314,Production Management,3,A,Spring2022
HIS101,Bangladesh History,3,C+,Summer2022
HIS102,World Civilization,3,A,Summer2022
ANT101,Anthropology,3,C,Summer2022
SOC101,Intro to Sociology,3,F,Summer2022
HIS205,Modern History,3,W,Summer2022
MIS210,Computer Programming,3,F,Fall2022
MIS310,Systems Analysis,3,W,Fall2022
MIS410,Systems Design,3,W,Fall2022
MIS320,IT for Managers,3,W,Fall2022
MIS450,IS Security,3,W,Fall2022
MIS470,IT Project Management,3,W,Spring2023
MIS320,IT for Managers,3,C+,Spring2023
MIS210,Computer Programming,3,W,Spring2023
MIS450,IS Security,3,B+,Spring2023
MIS410,Systems Design,3,W,Spring2023
