course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ECO101,Intro to Microeconomics,3,C-,Fall2020
MIS107,Introduction to Computers,3,A-,Fall2020
MKT202,Introduction to Marketing,3,C,Fall2020
BUS251,Business Communication,3,A,Fall2020
MGT212,Principles of Management,3,C,Fall2020
ENG103,Intermediate Composition,3,B+,Spring2021
ECO104,Intro to Macroeconomics,3,C-,Spring2021
ACT201,Intro to Financial Accounting,3,C+,Spring2021
MGT351,Human Resource Management,3,B-,Summer2021
LAW200,Legal Environment of Business,3,B,Summer2021
ACT202,Intro to Managerial Accounting,3,B,Summer2021
MIS207,Management Information Systems,3,A-,Fall2021
MGT314,Production Management,3,C-,Fall2021
MGT368,Entrepreneurship,3,C+,Fall2021
PHI401,Ethics / Philosophy,3,B,Fall2021
BEN205,Bengali Literature,3,W,Fall2021
ENG115,English Literature,3,B-,Spring2022
BEN205,Bengali Literature,3,B+,Spring2022
INB372,International Business,3,B,Spring2022
ENG105,Advanced Composition,3,B+,Spring2022
POL101,Intro to Political Science,3,C,Spring2022
