course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,C,Spring2020
BUS135,Business Mathematics,3,C-,Summer2020
BUS172,Introduction to Statistics,3,C+,Fall2020
FIN254,Intro to Financial Management,3,B-,Spring2021
MKT202,Introduction to Marketing,3,C-,Spring2021
ENG103,Intermediate Composition,3,B-,Summer2021
MIS107,Introduction to Computers,3,B,Summer2021
ECO101,Intro to Microeconomics,3,W,Summer2021
ECO101,Intro to Microeconomics,3,D,Fall2021
MGT212,Principles of Management,3,F,Spring2022
BUS251,Business Communication,3,C-,Spring2022
ECO104,Intro to Macroeconomics,3,C,Spring2022
MGT212,Principles of Management,3,D+,Summer2022
MIS107,Introduction to Computers,3,W,Summer2022
BUS173,Applied Statistics,3,B-,Fall2022
LAW200,Legal Environment of Business,3,C-,Spring2023
