course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,B,Spring2019
ACT201,Intro to Financial Accounting,3,B,Spring2019
MIS107,Introduction to Computers,3,W,Summer2019
MGT212,Principles of Management,3,C-,Fall2019
ECO101,Intro to Microeconomics,3,C+,Fall2019
BUS251,Business Communication,3,D,Fall2019
ACT202,Intro to Managerial Accounting,3,B,Spring2020
MIS107,Introduction to Computers,3,D,Spring2020
INB372,International Business,3,W,Spring2020
INB372,International Business,3,D,Summer2020
MIS207,Management Information Systems,3,D+,Summer2020
ECO104,Intro to Macroeconomics,3,D,Fall2020
MGT368,Entrepreneurship,3,C-,Fall2020
MGT314,Production Management,3,F,Fall2020
MGT351,Human Resource Management,3,C,Spring2021
PHI401,Ethics / Philosophy,3,W,Summer2021
PHI401,Ethics / Philosophy,3,B-,Fall2021
ENG115,English Literature,3,C-,Fall2021
MGT314,Production Management,3,C-,Fall2021
ACT202,Intro to Managerial Accounting,3,W,Fall2021
LAW200,Legal Environment of Business,3,W,Spring2022
POL104,Political Science,3,W,Summer2022
PAD201,Public Administration,3,C-,Summer2022
LAW200,Legal Environment of Business,3,C,Fall2022
ANT101,Anthropology,3,F,Spring2023
SOC101,Intro to Sociology,3,D+,Summer2023
PSY101,Intro to Psychology,3,C,Fall2023
ENV107,Environmental Science,3,D,Fall2023
PSY101L,Psychology Lab,1,W,Fall2023
ENV107L,Environmental Science Lab,1,B-,Fall2023
HIS102,World Civilization,3,C+,Spring2024
HIS101,Bangladesh History,3,B-,Spring2024
HRM340,Training and Development,3,W,Spring2024
