course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ENG102,Introduction to Composition,3,T,Spring2019
MGT212,Principles of Management,3,T,Fall2021
BUS135,Business Mathematics,3,C+,Fall2021
MKT202,Introduction to Marketing,3,T,Fall2021
BUS172,Introduction to Statistics,3,C+,Spring2022
MIS107,Introduction to Computers,3,T,Spring2022
ACT201,Intro to Financial Accounting,3,T,Spring2022
ECO101,Intro to Microeconomics,3,C+,Summer2022
BUS251,Business Communication,3,A-,Summer2022
BUS173,Applied Statistics,3,B,Summer2022
ACT202,Intro to Managerial Accounting,3,C+,Fall2022
LAW200,Legal Environment of Business,3,A-,Fall2022
ENG103,Intermediate Composition,3,A,Fall2022
MGT314,Production Management,3,B,Spring2023
FIN254,Intro to Financial Management,3,A,Spring2023
MIS207,Management Information Systems,3,B+,Spring2023
ECO104,Intro to Macroeconomics,3,T,Spring2023
MGT368,Entrepreneurship,3,C+,Summer2023
MGT351,Human Resource Management,3,B,Summer2023
INB372,International Business,3,C,Summer2023
BEN205,Bengali Literature,3,C,Fall2023
ENG105,Advanced Composition,3,B,Fall2023
CHN101,Chinese Language,3,B,Fall2023
