course_code,course_name,credits,grade,semester
CSE331,Microprocessor Interfacing,3,B,Spring2019
CSE145,Introduction to Artificial Intelligence,3,A,Spring2019
CSE331L,Microprocessor Interfacing Lab,1,C+,Spring2019
ENG111,Public Speaking,3,B-,Spring2019
EEE141L,Electrical Circuits I Lab,1,B-,Summer2019
EEE141,Electrical Circuits I,3,B-,Summer2019
CSE299,Junior Design Project,1,A-,Summer2019
CSE115L,Programming Language I Lab,1,B+,Summer2019
ENG105,Advanced Composition,3,B-,Fall2019
ENG103,Intermediate Composition,3,A,Fall2019
CSE311L,Database Management Systems Lab,1,B-,Fall2019
BIO103,Biology I,3,C+,Fall2019
BIO103L,Biology I Lab,1,A-,Fall2019
ECO201,Intermediate Microeconomics,3,B+,Spring2020
ECO204,Intermediate Macroeconomics,3,C+,Spring2020
BUS251,Business Communication,3,B,Spring2020
PHI401,Ethics / Philosophy,3,B,Summer2020
ECO328,Econometrics,3,B+,Summer2020
ECO304,International Economics,3,D+,Summer2020
ECO317,Public Economics,3,C-,Fall2020
MIS207,Management Information Systems,3,C+,Fall2020
ECO244,Economic Development,3,C+,Fall2020
MKT202,Introduction to Marketing,3,W,Fall2020
ECO415,Public Finance,3,C,Spring2021
ACT201,Intro to Financial Accounting,3,C,Spring2021
LAW200,Legal Environment of Business,3,A,Spring2021
ECO354,Advanced Microeconomics,3,B,Summer2021
MGT212,Principles of Management,3,D+,Summer2021
ECO410,Development Economics,3,B+,Summer2021
ECO348,Mathematical Economics,3,C,Summer2021
ECO460,International Trade,3,B,Summer2021
