course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,C,Spring2020
BUS135,Business Mathematics,3,C,Spring2020
MGT212,Principles of Management,3,D,Summer2020
MKT202,Introduction to Marketing,3,F,Summer2020
BUS172,Introduction to Statistics,3,C-,Fall2020
MKT202,Introduction to Marketing,3,C+,Spring2021
FIN254,Intro to Financial Management,3,D,Summer2021
ECO101,Intro to Microeconomics,3,B-,Fall2021
BUS173,Applied Statistics,3,C-,Spring2022
BUS251,Business Communication,3,D,Spring2022
MIS107,Introduction to Computers,3,D,Spring2022
ACT202,Intro to Managerial Accounting,3,C-,Summer2022
MGT351,Human Resource Management,3,C-,Fall2022
ECO104,Intro to Macroeconomics,3,B,Fall2022
INB372,International Business,3,C+,Fall2022
MGT314,Production Management,3,D,Spring2023
MIS207,Management Information Systems,3,C,Spring2023
LAW200,Legal Environment of Business,3,C-,Spring2023
BEN205,Bengali Literature,3,B-,Summer2023
ENG115,English Literature,3,C,Summer2023
PHI401,Ethics / Philosophy,3,C+,Fall2023
POL104,Political Science,3,C+,Spring2024
POL101,Intro to Political Science,3,D+,Spring2024
SOC101,Intro to Sociology,3,B-,Spring2024
