course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
BUS112,Intro to Business Mathematics,3,T,Spring2019
ACT201,Intro to Financial Accounting,3,C,Summer2020
MGT212,Principles of Management,3,D,Fall2020
MKT202,Introduction to Marketing,3,B-,Fall2020
ENG103,Intermediate Composition,3,B,Fall2020
MIS107,Introduction to Computers,3,C-,Spring2021
BUS251,Business Communication,3,I,Spring2021
LAW200,Legal Environment of Business,3,B-,Summer2021
BUS251,Business Communication,3,I,Summer2021
ECO101,Intro to Microeconomics,3,B-,Summer2021
ECO104,Intro to Macroeconomics,3,C+,Fall2021
ACT202,Intro to Managerial Accounting,3,B-,Fall2021
BUS251,Business Communication,3,B-,Fall2021
MIS207,Management Information Systems,3,D,Spring2022
MGT351,Human Resource Management,3,C-,Spring2022
INB372,International Business,3,D,Spring2022
MGT368,Entrepreneurship,3,I,Summer2022
MGT368,Entrepreneurship,3,D+,Fall2022
BUS135,Business Mathematics,3,C-,Fall2022
MGT314,Production Management,3,D+,Spring2023
BUS172,Introduction to Statistics,3,C,Spring2023
BUS173,Applied Statistics,3,F,Summer2023
FIN254,Intro to Financial Management,3,C+,Summer2023
PHI401,Ethics / Philosophy,3,D+,Fall2023
ENG115,English Literature,3,C-,Spring2024
BEN205,Bengali Literature,3,C-,Spring2024
ENG105,Advanced Composition,3,C+,Summer2024
BUS173,Applied Statistics,3,C,Summer2024
