course_code,course_name,credits,grade,semester
BUS112,Intro to Business Mathematics,3,T,Spring2019
MGT212,Principles of Management,3,C,Summer2020
BUS251,Business Communication,3,C+,Summer2020
MIS107,Introduction to Computers,3,D,Summer2020
MKT202,Introduction to Marketing,3,B,Summer2020
ECO101,Intro to Microeconomics,3,C,Summer2020
ECO104,Intro to Macroeconomics,3,C,Fall2020
ACT201,Intro to Financial Accounting,3,F,Fall2020
INB372,International Business,3,B-,Fall2020
BUS135,Business Mathematics,3,C-,Fall2020
MIS207,Management Information Systems,3,B,Spring2021
LAW200,Legal Environment of Business,3,C+,Spring2021
BUS172,Introduction to Statistics,3,B,Spring2021
MGT351,Human Resource Management,3,B-,Spring2021
ACT201,Intro to Financial Accounting,3,C,Spring2021
BUS173,Applied Statistics,3,C+,Summer2021
MGT368,Entrepreneurship,3,C,Summer2021
ACT202,Intro to Managerial Accounting,3,B-,Summer2021
FIN254,Intro to Financial Management,3,B-,Fall2021
MGT314,Production Management,3,B-,Fall2021
BEN205,Bengali Literature,3,B,Fall2021
CHN101,Chinese Language,3,C+,Fall2021
POL101,Intro to Political Science,3,D,Spring2022
GEO205,Geography,3,D,Spring2022
PAD201,Public Administration,3,B,Spring2022
MGT351,Human Resource Management,3,D+,Spring2022
SOC101,Intro to Sociology,3,D,Spring2022
ANT101,Anthropology,3,C-,Spring2022
PHY107L,Physics I Lab,1,C-,Summer2022
CHE101L,Chemistry I Lab,1,C-,Summer2022
PBH101,Public Health,3,C-,Summer2022
PHY107,Physics I,3,D+,Summer2022
CHE101,Chemistry I,3,D,Summer2022
PHI401,Ethics / Philosophy,3,C+,Summer2022
BIO103,Biology I,3,F,Summer2022
SCM320,Procurement and Inventory,3,F,Fall2022
HIS102,World Civilization,3,D+,Fall2022
SCM450,Supply Chain Analytics,3,F,Fall2022
SCM310,Supply Chain Management,3,F,Fall2022
HIS103,History of South Asia,3,D+,Fall2022
