course_code,course_name,credits,grade,semester
ENG102,Introduction to Composition,3,T,Spring2019
ENG103,Intermediate Composition,3,B+,Spring2019
MGT212,Principles of Management,3,C+,Spring2019
MKT202,Introduction to Marketing,3,D,Spring2019
INB372,International Business,3,C,Summer2019
ECO101,Intro to Microeconomics,3,C,Summer2019
BUS251,Business Communication,3,B-,Summer2019
ACT201,Intro to Financial Accounting,3,B,Summer2019
ECO104,Intro to Macroeconomics,3,C-,Fall2019
MIS107,Introduction to Computers,3,D,Fall2019
LAW200,Legal Environment of Business,3,A,Fall2019
MIS207,Management Information Systems,3,A,Fall2019
ACT202,Intro to Managerial Accounting,3,A,Fall2019
ENG105,Advanced Composition,3,C,Spring2020
MGT314,Production Management,3,B,Spring2020
MGT351,Human Resource Management,3,D+,Spring2020
ENG115,English Literature,3,A,Summer2020
CHN101,Chinese Language,3,A,Summer2020
BEN205,Bengali Literature,3,A-,Summer2020
MGT368,Entrepreneurship,3,C,Summer2020
POL101,Intro to Political Science,3,C-,Summer2020
ENV107,Environmental Science,3,D+,Fall2020
BIO103,Biology I,3,C-,Fall2020
ANT101,Anthropology,3,B-,Fall2020
SOC101,Intro to Sociology,3,B-,Fall2020
PBH101L,Public Health Lab,1,B-,Fall2020
PBH101,Public Health,3,B+,Fall2020
