course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,W,Summer2019
ECO101,Intro to Microeconomics,3,W,Summer2019
MKT202,Introduction to Marketing,3,W,Fall2019
ACT201,Intro to Financial Accounting,3,C+,Fall2019
ECO101,Intro to Microeconomics,3,W,Fall2019
BUS251,Business Communication,3,W,Spring2020
ACT202,Intro to Managerial Accounting,3,F,Spring2020
ECO101,Intro to Microeconomics,3,A,Spring2020
MGT212,Principles of Management,3,C+,Spring2020
ECO104,Intro to Macroeconomics,3,B+,Summer2020
MKT202,Introduction to Marketing,3,A,Summer2020
LAW200,Legal Environment of Business,3,B,Fall2020
ACT202,Intro to Managerial Accounting,3,C+,Fall2020
MIS107,Introduction to Computers,3,B,Spring2021
INB372,International Business,3,W,Spring2021
BUS251,Business Communication,3,C,Spring2021
MGT314,Production Management,3,W,Spring2021
MIS207,Management Information Systems,3,B,Summer2021
INB372,International Business,3,A,Summer2021
ENG115,English Literature,3,B+,Fall2021
MGT368,Entrepreneurship,3,C+,Fall2021
MGT351,Human Resource Management,3,D,Fall2021
MGT314,Production Management,3,B+,Fall2021
