course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,A-,Summer2023
MGT212,Principles of Management,3,F,Summer2023
BUS251,Business Communication,3,C+,Fall2023
MIS107,Introduction to Computers,3,B,Fall2023
ACT201,Intro to Financial Accounting,3,A-,Fall2023
LAW200,Legal Environment of Business,3,C-,Spring2024
ECO101,Intro to Microeconomics,3,B+,Spring2024
ACT202,Intro to Managerial Accounting,3,A,Spring2024
INB372,International Business,3,W,Summer2024
ECO104,Intro to Macroeconomics,3,B+,Summer2024
MIS207,Management Information Systems,3,C,Fall2024
INB372,International Business,3,D+,Fall2024
BEN205,Bengali Literature,3,A-,Fall2024
PHI401,Ethics / Philosophy,3,B+,Fall2024
