course_code,course_name,credits,grade,semester
PHY108L,Physics II Lab,1,B+,Spring2020
CHE101,Chemistry I,3,C+,Spring2020
CHE101L,Chemistry I Lab,1,A-,Spring2020
CSE145,Introduction to Artificial Intelligence,3,B,Spring2020
EEE111L,Analog Electronics I Lab,1,B-,Spring2020
CSE327,Software Engineering,3,B,Spring2020
PHY108,Physics II,3,A-,Spring2020
CSE311L,Database Management Systems Lab,1,A,Summer2020
PHY107L,Physics I Lab,1,B,Summer2020
HIS102,World Civilization,3,C,Summer2020
CSE425,Concepts of Programming Languages,3,A,Fall2020
CSE115L,Programming Language I Lab,1,B+,Fall2020
CEE110,Engineering Drawing,1,A-,Fall2020
CSE115,Programming Language I,3,C,Fall2020
BIO103L,Biology I Lab,1,B,Fall2020
CSE299,Junior Design Project,1,B+,Fall2020
EEE111,Analog Electronics I,3,C+,Spring2021
ENG105,Advanced Composition,3,A,Spring2021
BIO103,Biology I,3,B-,Spring2021
MGT350,Managing Quality,3,D,Summer2021
MIS107,Introduction to Computers,3,B-,Summer2021
MGT410,Entrepreneurship II,3,F,Summer2021
MGT321,Organizational Behavior,3,W,Summer2021
MGT212,Principles of Management,3,B,Summer2021
LAW200,Legal Environment of Business,3,A,Fall2021
MIS320,IT for Managers,3,D+,Fall2021
BUS251,Business Communication,3,D,Fall2021
HRM370,Managerial Skill Development,3,B-,Fall2021
ECO101,Intro to Microeconomics,3,B+,Fall2021
ECO104,Intro to Macroeconomics,3,B-,Spring2022
ACT201,Intro to Financial Accounting,3,C-,Spring2022
MKT202,Introduction to Marketing,3,C-,Spring2022
MGT321,Organizational Behavior,3,D,Spring2022
MGT330,Designing Effective Organizations,3,C,Spring2022
INB372,International Business,3,D+,Summer2022
HRM470,Negotiations,3,F,Summer2022
PHI401,Ethics / Philosophy,3,W,Summer2022
